,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
0,0,0,0,1,28/09/20,8:00 AM,Andaman and Nicobar Islands,3553,53,3794
1,1,1,1,2,28/09/20,8:00 AM,Andhra Pradesh,605090,5708,675674
2,2,2,2,3,28/09/20,8:00 AM,Arunachal Pradesh,6495,14,9004
3,3,3,3,4,28/09/20,8:00 AM,Assam,139980,655,169985
4,4,4,4,5,28/09/20,8:00 AM,Bihar,164987,888,178702
5,5,5,5,6,28/09/20,8:00 AM,Chandigarh,9103,147,11553
6,6,6,6,7,28/09/20,8:00 AM,Chhattisgarh,72224,848,104733
7,7,7,7,8,28/09/20,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2848,2,3002
8,8,8,8,9,28/09/20,8:00 AM,Delhi,236651,5235,271114
9,9,9,9,10,28/09/20,8:00 AM,Goa,26460,401,31958
10,10,10,10,11,28/09/20,8:00 AM,Gujarat,113008,3416,133057
11,11,11,11,12,28/09/20,8:00 AM,Haryana,105990,1307,123782
12,12,12,12,13,28/09/20,8:00 AM,Himachal Pradesh,10359,175,14191
13,13,13,13,14,28/09/20,8:00 AM,Jammu and Kashmir,52859,1132,72190
14,14,14,14,15,28/09/20,8:00 AM,Jharkhand,66797,679,79909
15,15,15,15,16,28/09/20,8:00 AM,Karnataka,462241,8582,575566
16,16,16,16,17,28/09/20,8:00 AM,Kerala,117921,677,175384
17,17,17,17,18,28/09/20,8:00 AM,Ladakh,3032,58,4103
18,18,18,18,19,28/09/20,8:00 AM,Madhya Pradesh,97571,2207,122209
19,19,19,19,20,28/09/20,8:00 AM,Maharashtra,1030015,35571,1339232
20,20,20,20,21,28/09/20,8:00 AM,Manipur,7876,64,10299
21,21,21,21,22,28/09/20,8:00 AM,Meghalaya,3779,43,5302
22,22,22,22,23,28/09/20,8:00 AM,Mizoram,1373,0,1908
23,23,23,23,24,28/09/20,8:00 AM,Nagaland,4888,16,5946
24,24,24,24,25,28/09/20,8:00 AM,Odisha,173571,797,209374
25,25,25,25,26,28/09/20,8:00 AM,Puducherry,20648,513,26400
26,26,26,26,27,28/09/20,8:00 AM,Punjab,88312,3238,110106
27,27,27,27,28,28/09/20,8:00 AM,Rajasthan,107718,1441,128859
28,28,28,28,29,28/09/20,8:00 AM,Sikkim,2146,33,2871
29,29,29,29,30,28/09/20,8:00 AM,Tamil Nadu,525154,9313,580808
30,30,30,30,31,28/09/20,8:00 AM,Telengana,156431,1107,187211
31,31,31,31,32,28/09/20,8:00 AM,Tripura,18959,273,24921
32,32,32,32,33,28/09/20,8:00 AM,Uttarakhand,35672,574,47045
33,33,33,33,34,28/09/20,8:00 AM,Uttar Pradesh,325888,5594,387085
34,34,34,34,35,28/09/20,8:00 AM,West Bengal,216921,4781,247425
35,35,35,35,36,29/09/20,8:00 AM,Andaman and Nicobar Islands,3582,53,3803
36,36,36,36,37,29/09/20,8:00 AM,Andhra Pradesh,612300,5745,681161
37,37,37,37,38,29/09/20,8:00 AM,Arunachal Pradesh,6592,15,9332
